свободомыслящий,
абдериты,глупый
абдикация,отказ
абзац,часть
абитуриент,ученик
абонировать,нанимать
абонироваться,абонировать,нанимать,подписываться
абордаж,столкновение
абориген,житель,туземец
абортировать,рождать
абракадабра,нелепость
абрис,очерк
абсентеизм,отсутствие
абсолютный,безотносительный,безусловный,полный,самостоятельный,совершенный
абстрактный,духовный,отвлеченный
абсурд,вздор,нелепость
абшид,увольнение
авангард,войско,передний
авантажный,величавый,красивый
авантюра,случай
авантюрист,побродяга,проходимец
авария,вред,неудача
авгур,предсказатель
автобиография,биография
автомат,кукла
автомедон,возница
автономный,самостоятельный
автор,виновник,компилятор,композитор,писатель,составитель,сочинитель,творец
авторитет,вес,достоинство,значение,компетентность,компетенция,престиж,сила
авторитетный,веский,властный,влиятельный,сильный
авторствовать,сочинять
автохтон,туземец
аггел,бес
агент,деятель,поверенный,посредник,представитель,уполномоченный
агитатор,зачинщик,мятежник
агитация,возбуждение
агитировать,возбуждать
агония,мука
ад,бездна,беспорядок,геенна,кромешная,пекло,преисподняя,тартар,чистилище
адвокат,законовед,защитник,поверенный,правовед,стряпчий,ходатай,юрист
адепт,ученик
администратор,правитель
администрация,власть
адонис,красивый
адресовать,направлять,посылать
адресоваться,направляться
адски,очень
адский,анафемский,дьявольский,инфернальный,каторжный,невыносимый,сатанинский
аж,даже
ажио,барыш
ажитация,горячность
ажитироваться,беспокоиться
ажно,даже
азарт,воодушевление,горячность,остервенение,пыл,энтузиазм,ярость
азбука,начало
азбучный,обыкновенный,простой
азиат,варвар,дикарь
академист,ученик
академический,духовный,отвлеченный
акафист,хвала
акварель,картина
аквариум,бассейн,помещение
аквилон,ветер
акклиматизироваться,привыкать,приспособляться
аккомпанемент,сопровождение
аккомпанировать,сопровождать
аккорд,звук
аккурат,точный
аккуратность,верность,заботливость,усердие
аккуратный,заботливый,исполнительный,исправный,корректный,неукоснительный,педантичный,пунктуальный,скрупулезный,точный,тщательный,щепетильный
акробат,актер
аксессуар,побочный,принадлежность
аксессуары,обстановка
аксиома,истина
акт,действие,документ,свидетельство
актер,артист,гастролер,комедиант,лицедей,лицемер,скоморох
